,Anime Title,Score_reference,Score_reference2,Type,Episodes,Aired,Producers,Studios,Source,Genres,Score,Members,Favorites,Fav%,Source_reference,genre_reference_1,genre_reference_2,Season,Manga_score,Age
340,Nobunaga Concerto,Medium,Good,TV,10,"Jul 12, 2014 to Sep 20, 2014",Pony Canyon,Fuji TV,Manga,"Comedy, Historical, Romance, Shounen",7.62,45515,257,0.565,0,4,11,3,7.3,6
341,Orange,Medium,Good,TV,13,"Jul 4, 2016 to Sep 26, 2016","TMS Entertainment, DAX Production, TOHO animation, Lawson, ABC Animation",Telecom Animation Film,Manga,"Sci-Fi, Drama, Romance, School, Shoujo",7.62,485917,4344,0.894,0,10,5,3,6.88,4
353,Yume-iro Pâtissière SP Professional,Medium,Good,TV,13,"Oct 3, 2010 to Dec 26, 2010",Shueisha,Studio Pierrot,Manga,"Slice of Life, Shoujo",7.62,32222,167,0.518,0,18,32,4,7.82,10
354,Ao no Exorcist,Medium,Good,TV,25,"Apr 17, 2011 to Oct 2, 2011","Aniplex, Dentsu, Mainichi Broadcasting System, Movic, Sakura Create, Shueisha",A-1 Pictures,Manga,"Action, Demons, Fantasy, Shounen, Supernatural",7.62,1309474,16158,1.234,0,1,31,2,7.05,9
358,Black Jack (TV),Medium,Good,TV,61,"Oct 11, 2004 to Mar 6, 2006",Yomiuri Telecasting,Tezuka Productions,Manga,Drama,7.62,26504,184,0.694,0,5,0,4,7.81,16
363,GetBackers,Medium,Good,TV,49,"Oct 5, 2002 to Sep 20, 2003","TBS, Kodansha, Rondo Robe, Rakuonsha",Studio Deen,Manga,"Action, Comedy, Drama, Mystery, Shounen, Super Power, Supernatural",7.62,102434,894,0.873,0,1,4,4,7.62,18
364,Hinomaruzumou,Medium,Good,TV,24,"Oct 5, 2018 to Mar 29, 2019","Nihon Ad Systems, Pony Canyon, Shueisha, BS11, Jinnan Studio, Cygames, CA-Cygames Anime Fund",Gonzo,Manga,"Martial Arts, Shounen, Sports",7.62,74930,237,0.316,0,33,8,4,8.36,2
373,Arakawa Under the Bridge,Medium,Good,TV,13,"Apr 5, 2010 to Jun 28, 2010","Square Enix, Starchild Records, Rakuonsha",Shaft,Manga,"Comedy, Romance, Seinen",7.61,278353,2086,0.749,0,4,20,2,7.07,10
376,Fugou Keiji: Balance:Unlimited,Medium,Good,TV,11,"Apr 10, 2020 to Sep 25, 2020","Aniplex, Dentsu, Animax, Movic, Fuji TV, Sonilude",CloverWorks,Novel,"Mystery, Comedy, Police",7.61,169281,1530,0.904,0,15,4,2,7.15,0
381,Ishuzoku Reviewers,Medium,Good,TV,12,"Jan 11, 2020 to Mar 28, 2020","AT-X, Docomo Anime Store, Kadokawa Media House, Kadokawa, Toyo Recording",Passione,Manga,"Comedy, Ecchi, Fantasy",7.61,280355,19040,6.791,0,4,35,1,6.98,0
