,Anime Title,Score_reference,Score_reference2,Type,Episodes,Aired,Producers,Studios,Source,Genres,Score,Members,Favorites,Fav%,Source_reference,genre_reference_1,genre_reference_2,Season,Manga_score,Age
3308,Idaten Jump,Medium,Bad,TV,52,"Oct 1, 2005 to Sep 30, 2006","Aniplex, Trans Arts, MediaNet",Production I.G,Manga,"Game, School, Sports",6.94,8428,62,0.736,0,16,24,4,6.95,15
3312,Jitsu wa Watashi wa,Medium,Bad,TV,13,"Jul 7, 2015 to Sep 29, 2015","TV Tokyo, Sotsu, MediaNet, Pony Canyon, AT-X, DAX Production, Asmik Ace, Akita Shoten","TMS Entertainment,       3xCube",Manga,"Comedy, Supernatural, Romance, Vampire, Fantasy, School, Shounen",6.94,186185,414,0.222,0,4,19,3,7.2,5
3317,Kurozuka,Medium,Bad,TV,12,"Oct 7, 2008 to Dec 23, 2008",Sony Pictures Entertainment,Madhouse,Manga,"Action, Drama, Historical, Horror, Romance, Sci-Fi, Vampire",6.94,80041,284,0.355,0,1,5,4,7.01,12
3321,Amatsuki,Medium,Bad,TV,13,"Apr 5, 2008 to Jun 28, 2008","Frontier Works, Sotsu",Studio Deen,Manga,"Action, Demons, Fantasy, Historical, Shoujo, Supernatural",6.93,52031,140,0.269,0,1,31,2,7.93,12
3325,Bakuten Shoot Beyblade G Revolution,Medium,Bad,TV,52,"Jan 6, 2003 to Dec 29, 2003",d-rights,Madhouse,Manga,"Action, Adventure, Comedy, Sci-Fi, Shounen, Sports",6.93,36635,213,0.581,0,1,3,1,6.71,17
3326,Binchou-tan,Medium,Bad,TV,12,"Feb 2, 2006 to Apr 15, 2006","Bandai Visual, Frontier Works, TBS, Alchemist",Studio Deen,Manga,"Slice of Life, Comedy",6.93,9291,58,0.624,0,18,4,1,8.08,14
3334,Freezing,Medium,Bad,TV,12,"Jan 8, 2011 to Apr 7, 2011","Media Factory, Eswood",A.C.G.T.,Manga,"Action, Sci-Fi, Harem, Drama, Romance, Ecchi, Martial Arts, Seinen",6.93,259738,1174,0.452,0,1,10,1,7.41,9
3337,Genji Monogatari Sennenki,Medium,Bad,TV,11,"Jan 16, 2009 to Mar 27, 2009","Dentsu, Fuji TV, Asmik Ace, Sony Music Entertainment","TMS Entertainment,       Tezuka Productions",Novel,"Drama, Historical, Romance",6.93,12000,20,0.167,0,5,11,1,7.83,11
3340,Jashin-chan Dropkick,Medium,Bad,TV,11,"Jul 10, 2018 to Sep 17, 2018","BS Fuji, Strawberry Meets Pictures, Hokkaido Cultural Broadcasting, Kanetsu Investment, BookLive, ibis Capital Partners, Global Solutions, Y&N Brothers",Nomad,Web manga,"Comedy, Supernatural",6.93,70319,200,0.284,0,4,19,3,4.89,2
3350,Ninin ga Shinobuden,Medium,Bad,TV,12,"Jul 10, 2004 to Sep 25, 2004","Toshiba Entertainment, Happinet Pictures",ufotable,Manga,"Comedy, Parody, Martial Arts",6.93,29728,141,0.474,0,4,12,3,7.01,16
3358,Samurai Deeper Kyou,Medium,Bad,TV,26,"Jul 2, 2002 to Dec 23, 2002",Starchild Records,Studio Deen,Manga,"Adventure, Comedy, Historical, Supernatural, Samurai, Shounen",6.93,48279,206,0.427,0,3,4,3,7.41,18
3364,Sumomomo Momomo: Chijou Saikyou no Yome,Medium,Bad,TV,22,"Oct 6, 2006 to Mar 16, 2007","TV Asahi, Square Enix, Lantis, Movic",Studio Hibari,Manga,"Action, Comedy, Romance, Martial Arts, Seinen",6.93,51598,81,0.157,0,1,4,4,8.1,14
3365,Tsurupika Hagemaru-kun,Medium,Bad,TV,59,"Mar 3, 1988 to Aug 30, 1989",TV Asahi,Shin-Ei Animation,4-koma manga,"Kids, Comedy",6.93,1477,13,0.88,0,36,4,1,7.13,32
3387,Aa! Megami-sama!: Chichaitte Koto wa Benri da ne,Medium,Bad,TV,48,"Apr 6, 1998 to Mar 29, 1999",Bandai Visual,OLM,4-koma manga,"Comedy, Magic, Supernatural",6.92,19717,37,0.188,0,4,6,2,6.93,22
3391,Clamp Gakuen Tanteidan,Medium,Bad,TV,26,"May 3, 1997 to Oct 25, 1997",Bandai Visual,Studio Pierrot,Manga,"Action, Mystery, Comedy, Shoujo",6.92,11175,28,0.251,0,1,15,2,6.87,23
3401,Happy Sugar Life,Medium,Bad,TV,12,"Jul 14, 2018 to Sep 29, 2018","VAP, Square Enix, Genco, Mainichi Broadcasting System, Bit Promotion",Ezόla,Manga,"Drama, Horror, Psychological, Shounen",6.92,165758,1671,1.008,0,5,29,3,6.87,2
3409,Kinnikuman II Sei: Ultimate Muscle,Medium,Bad,TV,13,"Apr 7, 2004 to Jun 30, 2004",,Toei Animation,Manga,"Action, Comedy, Martial Arts, Sci-Fi, Shounen, Sports",6.92,5400,10,0.185,0,1,4,2,7.5,16
3413,Moshidora,Medium,Bad,TV,10,"Apr 25, 2011 to May 6, 2011",NHK,Production I.G,Novel,"Drama, Sports",6.92,19421,22,0.113,0,5,23,2,7.93,9
3425,Goal FH: Field Hunter,Medium,Bad,TV,39,"Apr 4, 1994 to Dec 26, 1994","NHK, Image Kei",,Manga,"Action, Sports",6.91,1400,9,0.643,0,1,23,2,6.75,26
3430,Kinnikuman II Sei,Medium,Bad,TV,51,"Jan 9, 2002 to Dec 25, 2002","TV Tokyo, Yomiuri Advertising",Toei Animation,Manga,"Action, Sci-Fi, Comedy, Sports, Martial Arts, Shounen",6.91,12058,47,0.39,0,1,10,1,7.03,18
3435,Mizuiro Jidai,Medium,Bad,TV,47,"Apr 4, 1996 to Feb 27, 1997",Studio Comet,Nippon Animation,Manga,"Slice of Life, Drama, Romance, School, Shoujo",6.91,3154,8,0.254,0,18,5,2,6.14,24
3437,No Guns Life,Medium,Bad,TV,12,"Oct 11, 2019 to Dec 27, 2019","Sony Pictures Entertainment, TBS, AT-X, Hakuhodo DY Music & Pictures, BS11, Egg Firm, Good Smile Film",Madhouse,Manga,"Action, Sci-Fi, Drama, Seinen",6.91,134260,217,0.162,0,1,10,4,7.93,1
3448,Urayasu Tekkin Kazoku,Medium,Bad,TV,33,"Jun 30, 1998 to Aug 25, 1998",TBS,Studio Deen,Manga,"Comedy, Shounen",6.91,1536,9,0.586,0,4,8,2,7.92,22
3453,Xi You Ji,Medium,Bad,TV,52,1999 to ?,CCTV Animation,,Novel,"Adventure, Fantasy",6.91,503,7,1.392,0,3,7,4,7.66,21
3470,Zetman,Medium,Bad,TV,13,"Apr 3, 2012 to Jun 26, 2012","TV Asahi, Asatsu DK, YTV, Toho, Sakura Create",TMS Entertainment,Manga,"Action, Drama, Horror, Romance, Sci-Fi, Seinen, Supernatural",6.9,106759,241,0.226,0,1,5,2,7.32,8
3471,Zombie-Loan,Medium,Bad,TV,11,"Jul 4, 2007 to Sep 12, 2007",Nihon Ad Systems,Xebec,Manga,"Action, Horror, Shounen, Supernatural",6.9,122013,386,0.316,0,1,29,3,7.0,13
3477,Dagashi Kashi 2,Medium,Bad,TV,12,"Jan 12, 2018 to Mar 30, 2018","Pony Canyon, TBS, Shogakukan, Lawson, Pony Canyon Enterprise",Tezuka Productions,Manga,"Slice of Life, Comedy, Shounen",6.9,107364,152,0.142,0,18,4,1,7.69,2
3481,Hakaba Kitarou,Medium,Bad,TV,11,"Jan 11, 2008 to Mar 21, 2008","Fuji TV, Sony Music Entertainment, Fujipacific Music",Toei Animation,Manga,"Horror, Supernatural",6.9,9528,32,0.336,0,29,19,1,7.22,12
3484,Kanamemo,Medium,Bad,TV,13,"Jul 6, 2009 to Sep 28, 2009","Starchild Records, TV Tokyo Music, Houbunsha",feel.,4-koma manga,"Comedy, Ecchi, Shoujo Ai, Slice of Life",6.9,33081,72,0.218,0,4,35,3,6.84,11
3488,Kyoukai no Rinne (TV),Medium,Bad,TV,25,"Apr 4, 2015 to Sep 19, 2015","Shogakukan-Shueisha Productions, NHK, Shogakukan",Brain's Base,Manga,"Comedy, Supernatural, Romance, School, Shounen",6.9,74653,133,0.178,0,4,19,2,7.14,5
3498,Cyborg 009 (TV),Medium,Bad,TV,26,"Apr 5, 1968 to Sep 27, 1968",,Toei Animation,Manga,"Action, Adventure, Mecha, Sci-Fi, Shounen",6.89,5117,17,0.332,0,1,3,2,7.61,52
3509,Hakaima Sadamitsu,Medium,Bad,TV,10,"Jan 17, 2001 to Mar 21, 2001",Aniplex,Studio Deen,Manga,"Action, Mecha, School, Sci-Fi, Seinen",6.89,4833,21,0.435,0,1,22,1,7.32,19
3516,Koisuru Asteroid,Medium,Bad,TV,12,"Jan 3, 2020 to Mar 27, 2020","AT-X, flying DOG, Houbunsha, Kadokawa Media House, RAY, Kadokawa, GRANTdesign",Doga Kobo,4-koma manga,"Slice of Life, Comedy, School",6.89,54576,227,0.416,0,18,4,1,8.17,0
3520,Loveless,Medium,Bad,TV,12,"Apr 7, 2005 to Jun 30, 2005","Bandai Visual, TV Asahi, Movic",J.C.Staff,Manga,"Action, Mystery, Supernatural, Drama, Romance, Fantasy, Josei, Shounen Ai",6.89,117982,1631,1.382,0,1,15,2,8.34,15
3521,Makiba no Shoujo Katri,Medium,Bad,TV,49,"Jan 8, 1984 to Dec 23, 1984",,Nippon Animation,Novel,"Adventure, Drama, Historical, Slice of Life",6.89,2463,9,0.365,0,3,5,1,7.62,36
3523,Mini Van,Medium,Bad,TV,37,"Apr 6, 2013 to Dec 28, 2013",,DLE,4-koma manga,"Game, Slice of Life, Comedy, Parody",6.89,1592,3,0.188,0,16,18,2,7.0,7
3539,Sunohara-sou no Kanrinin-san,Medium,Bad,TV,12,"Jul 5, 2018 to Sep 20, 2018","Sotsu, flying DOG, Ichijinsha",Silver Link.,4-koma manga,"Comedy, Slice of Life",6.89,88022,287,0.326,0,4,18,3,6.79,2
3557,Stella no Mahou,Medium,Bad,TV,12,"Oct 3, 2016 to Dec 19, 2016","Kadokawa Shoten, AT-X, flying DOG, Houbunsha, Hakuhodo DY Music & Pictures",Silver Link.,4-koma manga,"Game, Slice of Life, Comedy, School",6.88,32942,44,0.134,0,16,18,4,7.71,4
3561,Tottemo! Luckyman,Medium,Bad,TV,50,"Apr 6, 1994 to Mar 23, 1995","TV Tokyo, Yomiko Advertising, TV Tokyo Music",Studio Pierrot,Manga,"Comedy, Super Power, Sci-Fi, Shounen",6.88,1378,10,0.726,0,4,14,2,6.87,26
3568,Binbou Shimai Monogatari,Medium,Bad,TV,10,"Jun 30, 2006 to Sep 15, 2006",TV Asahi,Toei Animation,Manga,"Slice of Life, Comedy, Drama, Seinen",6.88,17328,27,0.156,0,18,4,2,7.83,14
3581,Kaitou Joker,Medium,Bad,TV,13,"Oct 6, 2014 to Jan 5, 2015","Asatsu DK, Tokyo MX",Shin-Ei Animation,Manga,"Adventure, Comedy, Mystery, Shounen",6.88,10436,90,0.862,0,3,4,4,7.8,6
3582,Kannazuki no Miko,Medium,Bad,TV,12,"Oct 2, 2004 to Dec 18, 2004","Studio Fantasia, Geneon Universal Entertainment, Remic, Front Line, Kodansha, Rondo Robe, Memory-Tech, Toshiba Entertainment",TNK,Manga,"Supernatural, Drama, Magic, Romance, Mecha, Shounen, Shoujo Ai",6.88,58736,754,1.284,0,19,5,4,8.29,16
3593,Croket!,Medium,Bad,TV,104,"Apr 7, 2003 to Mar 27, 2005","TV Tokyo, Shogakukan-Shueisha Productions",OLM,Manga,"Action, Adventure, Comedy, Fantasy",6.87,811,4,0.493,0,1,3,2,6.78,17
3596,Happy☆Lesson: Advance,Medium,Bad,TV,13,"Jul 3, 2003 to Sep 28, 2003","KSS, Studio Jack",Studio Hibari,Manga,"Comedy, Harem, Romance, Slice of Life",6.87,12754,8,0.063,0,4,39,3,6.56,17
3598,Juushin Enbu: Hero Tales,Medium,Bad,TV,26,"Oct 8, 2007 to Mar 31, 2008","Square Enix, Genco, Tohokushinsha Film Corporation",Studio Flag,Manga,"Action, Fantasy, Shounen",6.87,22850,38,0.166,0,1,7,4,7.42,13
3599,Kill Me Baby,Medium,Bad,TV,13,"Jan 6, 2012 to Mar 30, 2012","Pony Canyon, TBS, Magic Capsule",J.C.Staff,4-koma manga,"Comedy, School, Seinen",6.87,93958,401,0.427,0,4,24,1,7.04,8
3614,Rosario to Vampire,Medium,Bad,TV,13,"Jan 3, 2008 to Mar 27, 2008","GDH, Yomiko Advertising, Happinet Pictures, Atelier Musa, Shueisha, Sotsu Music Publishing, Imagine",Gonzo,Manga,"Harem, Comedy, Romance, Ecchi, Vampire, Fantasy, School, Shounen",6.87,518513,3660,0.706,0,39,4,1,7.61,12
3620,Yu☆Gi☆Oh! Zexal Second,Medium,Bad,TV,73,"Oct 7, 2012 to Mar 23, 2014","TV Tokyo, Nihon Ad Systems",Gallop,Manga,"Action, Fantasy, Game, Shounen",6.87,25711,166,0.646,0,1,7,4,7.64,8
3629,Tsuyoshi Shikkari Shinasai,Medium,Bad,TV,112,"Oct 4, 1992 to Dec 25, 1994",Studio Comet,,Manga,"Comedy, Drama, Romance, School, Shounen, Slice of Life",6.86,1631,5,0.307,0,4,5,4,7.07,28
3635,Atom: The Beginning,Medium,Bad,TV,12,"Apr 15, 2017 to Jul 8, 2017","NHK, Tezuka Productions, Studio Mausu, NBCUniversal Entertainment Japan, Hakuhodo DY Music & Pictures, Fields","Production I.G,       OLM,       Signal.MD",Manga,"Action, Sci-Fi, Mecha, Seinen",6.86,26320,41,0.156,0,1,10,2,6.66,3
3636,Babylon,Medium,Bad,TV,12,"Oct 7, 2019 to Jan 28, 2020","Fujipacific Music, Twin Engine",Revoroot,Novel,"Mystery, Psychological, Thriller",6.86,97603,372,0.381,0,15,26,4,8.01,1
3646,Dear Boys,Medium,Bad,TV,26,"Apr 7, 2003 to Sep 29, 2003",OB Planning,A.C.G.T.,Manga,"Drama, Shounen, Sports",6.86,18405,47,0.255,0,5,8,2,8.95,17
3654,Majimoji Rurumo,Medium,Bad,TV,12,"Jul 9, 2014 to Sep 24, 2014","Pony Canyon, Kodansha, AT-X, DAX Production, Bushiroad, Eswood",J.C.Staff,Manga,"Comedy, Magic, Ecchi, Fantasy, School, Shounen",6.86,61937,77,0.124,0,4,6,3,6.94,6
3670,Kyojin no Hoshi,Medium,Bad,TV,182,"Mar 30, 1968 to Sep 18, 1971","Tokyo Movie Shinsha, Yomiuri Telecasting",TMS Entertainment,Manga,"Drama, Sports",6.85,1762,6,0.341,0,5,23,1,8.3,52
3690,Uchuusen Sagittarius,Medium,Bad,TV,77,"Jan 10, 1986 to Oct 3, 1987",,Nippon Animation,Picture book,"Sci-Fi, Adventure",6.85,923,7,0.758,0,10,3,1,7.07,34
3694,Yozakura Quartet,Medium,Bad,TV,12,"Oct 3, 2008 to Dec 19, 2008",TBS,Nomad,Manga,"Action, Magic, Comedy, Super Power, Supernatural, Shounen",6.85,116506,169,0.145,0,1,6,4,6.98,12
3708,Animal Yokochou,Medium,Bad,TV,51,"Oct 4, 2005 to Sep 26, 2006","TV Tokyo, Geneon Universal Entertainment, Dentsu, TV Tokyo Music, Dentsu Tec",Gallop,Manga,"Adventure, Comedy, Fantasy, Shoujo",6.84,2155,9,0.418,0,3,4,4,7.75,15
3710,Buzzer Beater 2nd Season,Medium,Bad,TV,13,"Jul 4, 2007 to Sep 26, 2007",,TMS Entertainment,Web manga,"Action, Sci-Fi, Sports, Shounen",6.84,7213,5,0.069,0,1,10,3,6.97,13
3722,Kodomo no Jikan (TV),Medium,Bad,TV,12,"Oct 12, 2007 to Dec 28, 2007","Bandai Visual, Lantis, Movic, Dream Force, Futabasha",Diomedea,Manga,"Comedy, Drama, Ecchi, School",6.84,94998,531,0.559,0,4,5,4,8.3,13
3731,Akkun to Kanojo,Medium,Bad,TV,25,"Apr 6, 2018 to Sep 21, 2018",,Yumeta Company,Manga,"Comedy, Josei, Romance, School",6.83,88716,147,0.166,0,4,27,2,7.66,2
3732,Anime 80-nichikan Sekai Isshuu,Medium,Bad,TV,26,"Jan 8, 1984 to Jul 15, 1984",,Nippon Animation,Novel,"Adventure, Historical, Kids, Romance",6.83,3844,7,0.182,0,3,11,1,7.62,36
3743,Hidamari no Ki,Medium,Bad,TV,25,"Apr 5, 2000 to Sep 20, 2000","VAP, Nippon Television Network",Madhouse,Manga,"Action, Historical, Drama, Samurai, Seinen",6.83,1881,10,0.532,0,1,11,2,8.12,20
3755,Pupipo!,Medium,Bad,TV,15,"Dec 21, 2013 to Mar 29, 2014",TV Tokyo,AIC Plus+,Manga,"Slice of Life, Comedy, Supernatural, School",6.83,17938,39,0.217,0,18,4,4,7.73,7
3762,Yama no Susume,Medium,Bad,TV,12,"Jan 3, 2013 to Mar 21, 2013",Earth Star Entertainment,8bit,Manga,"Adventure, Slice of Life, Comedy",6.83,59188,123,0.208,0,3,18,1,7.51,7
3771,Qin Shi Ming Yue: Ye Jin Tianming,Medium,Bad,TV,18,"Jul 17, 2008 to 2008",,Sparkly Key Animation Studio,Novel,"Action, Historical, Martial Arts, Fantasy",6.82,993,4,0.403,0,1,11,3,7.6,12
3774,Saikyou Bushouden: Sangoku Engi,Medium,Bad,TV,52,"Apr 4, 2010 to Mar 27, 2011","Hisashishi Videos, TOMY Company","Future Planet,       Beijing Huihuang Animation Company",Novel,Historical,6.82,2051,5,0.244,0,11,0,2,6.21,10
3787,Yu☆Gi☆Oh! Arc-V,Medium,Bad,TV,148,"Apr 6, 2014 to Mar 26, 2017","TV Tokyo, Nihon Ad Systems, Marvelous AQL",Gallop,Manga,"Action, Game, Fantasy, Shounen",6.82,42451,1180,2.78,0,1,16,2,7.64,6
3792,Blade of the Immortal,Medium,Bad,TV,13,"Jul 14, 2008 to Dec 29, 2008","Production I.G, Kodansha",Bee Train,Manga,"Action, Adventure, Historical, Samurai, Supernatural",6.82,54482,139,0.255,0,1,3,3,8.43,12
3800,Code:Breaker,Medium,Bad,TV,13,"Oct 7, 2012 to Dec 23, 2012","Bandai Visual, Lantis, Kodansha, Memory-Tech, Bushiroad",Kinema Citrus,Manga,"Action, Comedy, School, Shounen, Super Power, Supernatural",6.82,244860,619,0.253,0,1,4,4,7.62,8
3801,Domestic na Kanojo,Medium,Bad,TV,12,"Jan 12, 2019 to Mar 30, 2019","Mainichi Broadcasting System, Kodansha, flying DOG, DMM pictures, Bit Promotion",Diomedea,Manga,"Drama, Romance, School, Shounen",6.82,338218,2841,0.84,0,5,20,1,7.87,1
3804,Ganbare! Kickers,Medium,Bad,TV,23,"Oct 15, 1986 to Mar 25, 1987",Nippon Television Network,Studio Pierrot,Manga,"Comedy, Drama, Shounen, Sports",6.82,7252,31,0.427,0,4,5,4,7.62,34
3808,Ikkitousen: Dragon Destiny,Medium,Bad,TV,12,"Feb 26, 2007 to May 14, 2007","Genco, Atelier Musa, Gigno Systems",Arms,Manga,"Action, Super Power, Ecchi, Martial Arts, School",6.82,65043,135,0.208,0,1,14,1,6.8,13
3821,Asu no Yoichi!,Medium,Bad,TV,12,"Jan 9, 2009 to Mar 27, 2009","Lantis, TBS, Movic",AIC,Manga,"Harem, Comedy, Romance, Ecchi, Martial Arts, Shounen",6.81,169935,344,0.202,0,39,4,1,6.92,11
3822,Brave 10,Medium,Bad,TV,12,"Jan 8, 2012 to Mar 25, 2012","Media Factory, Studio Saki Makura",TMS Entertainment,Manga,"Action, Adventure, Historical, Super Power, Samurai, Seinen",6.81,127024,281,0.221,0,1,3,1,7.6,8
3829,Hanaukyou Maid-tai: La Verite,Medium,Bad,TV,12,"Apr 4, 2004 to Jun 20, 2004",Geneon Universal Entertainment,Daume,Manga,"Comedy, Ecchi, Harem, Romance",6.81,19595,20,0.102,0,4,35,2,7.9,16
3842,Micchiri Neko,Medium,Bad,TV,39,"Jan 4, 2018 to Mar 26, 2018",Frencel,helo.inc,Web manga,"Comedy, Kids",6.81,6441,18,0.279,0,4,36,1,7.68,2
3843,Midara na Ao-chan wa Benkyou ga Dekinai,Medium,Bad,TV,12,"Apr 6, 2019 to Jun 22, 2019","Mainichi Broadcasting System, Kodansha, DMM pictures",Silver Link.,Manga,"Comedy, Romance, Ecchi, Shounen",6.81,144315,407,0.282,0,4,20,2,6.85,1
3852,Silent Möbius,Medium,Bad,TV,26,"Jan 29, 1998 to Apr 7, 1998",Sotsu,Radix,Manga,"Action, Sci-Fi, Comedy, Horror, Drama, Magic, Romance, Fantasy",6.81,11397,36,0.316,0,1,10,1,7.22,22
3855,Teekyuu 3,Medium,Bad,TV,12,"Oct 6, 2013 to Dec 22, 2013","DAX Production, Earth Star Entertainment",MAPPA,Manga,"Comedy, School, Shounen, Sports",6.81,21793,22,0.101,0,4,24,4,6.12,7
3862,Super Seisyun Brothers,Medium,Bad,TV,14,"Sep 14, 2013 to Dec 14, 2013",AIC,AIC Plus+,Web manga,"Comedy, Josei, Slice of Life",6.8,27100,37,0.137,0,4,27,3,7.66,7
3873,Bakusou Kyoudai Let's & Go,Medium,Bad,TV,51,"Jan 8, 1996 to Dec 23, 1996",,"Production I.G,       Xebec",Manga,"Adventure, Cars, Sports, Shounen",6.8,8078,43,0.532,0,3,40,1,7.54,24
3876,Chocotto Sister,Medium,Bad,TV,24,"Jul 12, 2006 to Dec 20, 2006",,Nomad,Manga,"Comedy, Drama, Romance, Ecchi",6.8,18395,36,0.196,0,4,5,3,7.11,14
3877,Chuubyou Gekihatsu Boy,Medium,Bad,TV,11,"Oct 4, 2019 to Dec 13, 2019","Lantis, Bandai Namco Live Creative, Ai Addiction, Kadokawa Media House, NTT Plala, Kadokawa, Bandai Namco Arts",Studio Deen,Novel,"Comedy, School",6.8,31531,108,0.343,0,4,24,4,6.57,1
3879,Doujin Work,Medium,Bad,TV,12,"Jul 4, 2007 to Sep 19, 2007","m.o.e., Media Factory, Half H.P Studio, Houbunsha, Index, Toranoana",Remic,4-koma manga,"Slice of Life, Comedy",6.8,24985,40,0.16,0,18,4,3,7.28,13
3886,Ikkitousen: Great Guardians,Medium,Bad,TV,12,"Jun 11, 2008 to Aug 27, 2008","Genco, Media Factory, AT-X, Showgate, Toranoana, Zack Promotion",Arms,Manga,"Action, Ecchi, Martial Arts, School, Super Power",6.8,52910,83,0.157,0,1,35,2,6.8,12
3887,Ikkitousen: Xtreme Xecutor,Medium,Bad,TV,12,"Mar 26, 2010 to Jun 11, 2010",Genco,"Arms,       TNK",Manga,"Action, Ecchi, Martial Arts, School, Super Power",6.8,40777,50,0.123,0,1,35,1,6.8,10
3892,Itoshi no Muco,Medium,Bad,TV,25,"Oct 3, 2015 to Mar 26, 2016",,DLE,Manga,"Slice of Life, Comedy",6.8,6327,28,0.443,0,18,4,4,6.6,5
3893,Koneko no Chi: Ponponra Daibouken,Medium,Bad,TV,51,"Oct 2, 2016 to Sep 24, 2017",Half H.P Studio,Marza Animation Planet,Manga,Slice of Life,6.8,5941,19,0.32,0,18,0,4,7.95,4
3909,Dash! Yonkurou,Medium,Bad,TV,25,"Oct 3, 1989 to Mar 27, 1990",Aubec,,Manga,"Action, Cars, Sports, Kids, Shounen",6.79,1503,5,0.333,0,1,40,4,6.9,31
3910,Devils Line,Medium,Bad,TV,12,"Apr 7, 2018 to Jun 23, 2018","Kodansha, King Records",Platinum Vision,Manga,"Action, Drama, Romance, Seinen, Supernatural, Vampire",6.79,143063,913,0.638,0,1,5,2,8.3,2
3915,Getter Robo,Medium,Bad,TV,51,"Apr 4, 1974 to May 8, 1975",Dynamic Planning,Toei Animation,Manga,"Action, Sci-Fi, Mecha, Shounen",6.79,5547,22,0.397,0,1,10,2,7.18,46
3922,Kitakubu Katsudou Kiroku,Medium,Bad,TV,12,"Jul 5, 2013 to Oct 11, 2013","VAP, Nippon Television Network",Nomad,Manga,"Comedy, School, Slice of Life",6.79,41982,107,0.255,0,4,24,3,6.76,7
3932,Pygmalio,Medium,Bad,TV,39,"Nov 5, 1990 to Sep 16, 1991",TV Tokyo,Nippon Animation,Manga,"Adventure, Fantasy, Shoujo",6.79,1089,3,0.275,0,3,7,4,7.05,30
3943,Night Head Genesis,Medium,Bad,TV,24,"Jun 17, 2006 to Dec 31, 2006","Actas, HoriPro, Four Some",Bee Media,Manga,"Sci-Fi, Mystery, Psychological, Supernatural, Drama",6.78,25823,62,0.24,0,10,15,2,7.5,14
3961,Dr. Rin ni Kiitemite!,Medium,Bad,TV,51,"Mar 5, 2001 to Feb 25, 2002",Nihon Ad Systems,Studio Comet,Manga,"Comedy, Fantasy, Magic, Romance, School, Shoujo",6.78,3163,11,0.348,0,4,7,1,6.77,19
3966,Hitori no Shita: The Outcast,Medium,Bad,TV,12,"Jul 9, 2016 to Sep 24, 2016","Haoliners Animation League, Tencent Animation & Comics, Emon",Namu Animation,Web manga,"Action, Super Power, Supernatural",6.78,110611,210,0.19,0,1,14,3,7.02,4
3977,Metal Fight Beyblade 4D,Medium,Bad,TV,52,"Apr 3, 2011 to Apr 1, 2012",,SynergySP,Manga,"Adventure, Sports",6.78,23353,101,0.432,0,3,23,2,6.71,9
3978,Muhyo to Rouji no Mahouritsu Soudan Jimusho 2nd Season,Medium,Bad,TV,12,"Jul 7, 2020 to Sep 22, 2020","Lantis, Bridge",Studio Deen,Manga,"Action, Mystery, Comedy, Supernatural, Drama, Shounen",6.78,16023,33,0.206,0,1,15,3,7.52,0
3980,3D Kanojo: Real Girl,Medium,Bad,TV,12,"Apr 4, 2018 to Jun 20, 2018",DeNA,Hoods Entertainment,Manga,"Romance, School, Shoujo",6.77,189097,892,0.472,0,20,24,2,7.26,2
3996,Honoo no Alpenrose: Judy & Randy,Medium,Bad,TV,20,"Apr 8, 1985 to Apr 3, 1986",,Tatsunoko Production,Manga,"Historical, Drama, Romance, Shoujo",6.77,2302,10,0.434,0,11,5,2,7.34,35
4000,Kemono no Souja Erin Recaps,Medium,Bad,TV,10,"Jan 9, 2010 to Mar 13, 2010",,Production I.G,Novel,"Adventure, Drama, Fantasy, Historical, Slice of Life",6.77,2075,6,0.289,0,3,5,1,7.09,10
4012,Re-Kan!,Medium,Bad,TV,13,"Apr 3, 2015 to Jun 26, 2015","TBS, RAY",Pierrot Plus,4-koma manga,"Comedy, School, Seinen, Supernatural",6.77,51900,56,0.108,0,4,24,2,7.33,5
4034,Teekyuu 2,Medium,Bad,TV,12,"Jul 7, 2013 to Sep 22, 2013","DAX Production, Earth Star Entertainment",MAPPA,Manga,"Comedy, School, Shounen, Sports",6.76,25717,23,0.089,0,4,24,3,6.12,7
4039,UFO Princess Valkyrie,Medium,Bad,TV,12,"Jul 4, 2002 to Sep 19, 2002","Media Factory, Nippon Columbia, KlockWorx, Toshiba Entertainment",TNK,Manga,"Comedy, Ecchi, Magic, Sci-Fi",6.76,16672,45,0.27,0,4,35,3,7.2,18
4052,Chibi☆Devi!,Medium,Bad,TV,75,"Oct 10, 2011 to Feb 17, 2014","Shogakukan-Shueisha Productions, Half H.P Studio",SynergySP,Manga,"Fantasy, Shoujo, Supernatural",6.76,12210,50,0.41,0,7,32,4,7.3,9
4059,Gegege no Kitarou (1968),Medium,Bad,TV,65,"Jan 3, 1968 to Mar 30, 1969",,Toei Animation,Manga,"Adventure, Comedy, Horror, Supernatural, Fantasy",6.76,3128,21,0.671,0,3,4,1,8.59,52
4063,Hinako Note,Medium,Bad,TV,12,"Apr 7, 2017 to Jun 23, 2017","Media Factory, AT-X, Enterbrain, Sony Music Communications",Passione,4-koma manga,"Comedy, Slice of Life",6.76,76095,159,0.209,0,4,18,2,8.12,3
4064,Hoshi no Oujisama Petit Prince,Medium,Bad,TV,35,"Jul 4, 1978 to Mar 27, 1979","TV Asahi, Knack Productions",,Novel,Adventure,6.76,1398,7,0.501,0,3,0,3,7.71,42
4066,Kyoto Teramachi Sanjou no Holmes,Medium,Bad,TV,12,"Jul 10, 2018 to Sep 25, 2018",,Seven,Novel,"Drama, Mystery, Romance, Slice of Life",6.76,42130,69,0.164,0,5,15,3,8.16,2
