,Anime Title,Type,Score_reference2,Episodes,Aired,Producers,Studios,Source,Genres,Score,Members,Favorites,Fav%,Source_reference,genre_reference_1,genre_reference_2,Season
9068,Chiruran: Nibun no Ichi,TV,Bad,12,"Jan 10, 2017 to Mar 28, 2017","DAX Production, KBS, Coamix, Warner Music Japan, Smiral Animation",LandQ studios,Manga,"Action, Comedy, Historical",5.66,6632,7,0.106,0,1,4,1
9069,Go! Go! 575,TV,Bad,4,"Jan 10, 2014 to Jan 31, 2014","Sega, Half H.P Studio","C2C,       Lay-duce",Game,Slice of Life,5.66,10087,5,0.05,2,18,0,1
9078,Butlers: Chitose Momotose Monogatari,TV,Bad,12,"Apr 12, 2018 to Jun 28, 2018","Lantis, Kadokawa Shoten",Silver Link.,Original,"Comedy, School, Supernatural",5.65,20031,43,0.215,5,4,24,2
9083,Hatsukoi Monster,TV,Bad,12,"Jul 2, 2016 to Sep 17, 2016","Kodansha, AT-X, DAX Production, KlockWorx, Sony Music Communications, King Records",Studio Deen,Manga,"Comedy, Romance, School, Shoujo",5.65,80782,149,0.184,0,4,20,3
9086,Jikuu Tenshou Nazca,TV,Bad,12,"Apr 6, 1998 to Jun 29, 1998","Kadokawa Shoten, Pioneer LDC","Genco,       Radix",Manga,"Action, Adventure, Drama, Magic, Fantasy",5.65,5220,6,0.115,0,1,3,2
9087,Jingai-san no Yome,TV,Bad,12,"Oct 3, 2018 to Dec 18, 2018","MAGES., Cloud22",Saetta,4-koma manga,"Comedy, Romance, Fantasy, Josei",5.65,28401,60,0.211,0,4,20,4
9095,UG☆Ultimate Girls,TV,Bad,12,"Jan 10, 2005 to Mar 28, 2005",m.o.e.,Studio Matrix,Original,"Comedy, Ecchi, Magic, Sci-Fi",5.65,8005,4,0.05,5,4,35,1
9102,Shokupan Mimi,TV,Bad,12,"Oct 4, 2010 to Dec 20, 2010",Dentsu,Kachidoki Studio,4-koma manga,Comedy,5.64,1363,2,0.147,0,4,0,4
9104,Two Car,TV,Bad,12,"Oct 8, 2017 to Dec 24, 2017","Lantis, AT-X, KlockWorx, Sony Music Communications, BS Fuji, 81 Produce, Tokyo MX, Hakuhodo DY Music & Pictures, FuRyu, Kadokawa, D-techno",Silver Link.,Original,Sports,5.64,18931,14,0.074,5,23,0,4
9116,High Score,TV,Bad,8,"Nov 28, 2011 to Jan 30, 2012",,DLE,4-koma manga,"Slice of Life, Comedy, School, Shoujo",5.64,6915,7,0.101,0,18,4,4
