,Anime Title,Type,Score_reference2,Episodes,Aired,Producers,Studios,Source,Genres,Score,Members,Favorites,Fav%,Source_reference,genre_reference_1,genre_reference_2,Season
1655,Heavy Object,TV,Bad,24,"Oct 3, 2015 to Mar 26, 2016","Movic, Magic Capsule, Warner Bros. Japan, KlockWorx, ASCII Media Works, Showgate, GREE","J.C.Staff,       SANZIGEN",Light novel,"Action, Military, Sci-Fi, Mecha",7.3,124372,396,0.318,1,1,2,4
1657,High School DxD Hero,TV,Bad,12,"Apr 17, 2018 to Jul 3, 2018",AT-X,Passione,Light novel,"Action, Comedy, Demons, Ecchi, Harem, Romance, School",7.3,280325,2103,0.75,1,1,4,2
1659,High School Fleet,TV,Bad,12,"Apr 10, 2016 to Jun 26, 2016","Aniplex, Half H.P Studio, Asmik Ace, Graphinica, BS11, Contents Seed, Cromea, Akatsuki",Production IMS,Original,"Action, Military, School",7.3,82796,674,0.814,5,1,2,2
1660,Hitsugi no Chaika,TV,Bad,12,"Apr 10, 2014 to Jun 26, 2014","Kadokawa Shoten, flying DOG, Fujimi Shobo",Bones,Light novel,"Action, Adventure, Comedy, Romance, Fantasy",7.3,299463,753,0.251,1,1,3,2
1661,Honoo no Toukyuuji: Dodge Danpei,TV,Bad,47,"Oct 14, 1991 to Sep 21, 1992","TV Tokyo, Shogakukan-Shueisha Productions",Animation 21,Unknown,"Comedy, Sports",7.3,3852,14,0.363,3,4,23,4
1662,IGPX: Immortal Grand Prix (2005) 2nd Season,TV,Bad,13,"May 20, 2006 to Aug 26, 2006","Bee Train, Bandai Visual",Production I.G,Original,"Mecha, Sci-Fi, Shounen, Sports",7.3,9320,25,0.268,5,22,10,2
1663,Just Because!,TV,Bad,12,"Oct 5, 2017 to Dec 28, 2017","Sotsu, AT-X, BS Fuji, NBCUniversal Entertainment Japan, Tokyo MX, Moonbell, INCS toenter",Pine Jam,Original,"Slice of Life, Drama, Romance, School",7.3,205928,984,0.478,5,18,5,4
1667,MÄR,TV,Bad,102,"Apr 3, 2005 to Mar 25, 2007","TV Tokyo, Shogakukan-Shueisha Productions, A-Line",SynergySP,Manga,"Action, Adventure, Comedy, Fantasy, Shounen",7.3,42500,277,0.652,0,1,3,2
1668,Midori no Hibi,TV,Bad,13,"Apr 4, 2004 to Jun 27, 2004","Bandai Visual, Lantis",Studio Pierrot,Manga,"Comedy, Drama, Romance, Ecchi, Shounen",7.3,132424,591,0.446,0,4,5,2
1670,Nabari no Ou,TV,Bad,26,"Apr 7, 2008 to Sep 29, 2008","Square Enix, Kinyosha",J.C.Staff,Manga,"Action, Fantasy, Supernatural, Comedy, Drama, Shounen",7.3,144558,1412,0.977,0,1,7,2
1676,Cyborg 009: The Cyborg Soldier,TV,Bad,50,"Oct 14, 2001 to Aug 27, 2003","TV Tokyo, Avex Entertainment","Shaft,       Brain's Base,       Japan Vistec",Manga,"Action, Sci-Fi, Adventure, Mecha, Shounen",7.29,24790,164,0.662,0,1,10,4
1681,Gun x Sword,TV,Bad,26,"Jul 4, 2005 to Dec 26, 2005",Studio Tulip,AIC ASTA,Original,"Action, Adventure, Drama, Mecha, Sci-Fi, Shounen",7.29,63711,326,0.512,5,1,3,3
1682,Hakushaku to Yousei,TV,Bad,12,"Sep 29, 2008 to Dec 24, 2008",,Artland,Light novel,"Adventure, Historical, Magic, Romance, Fantasy, Shoujo",7.29,98928,615,0.622,1,3,11,3
1685,Kamichama Karin,TV,Bad,26,"Apr 6, 2007 to Sep 28, 2007","Broccoli, Nihon Ad Systems, Pony Canyon, Studio Kelmadick",Satelight,Manga,"Comedy, Fantasy, Magic, Romance, School, Shoujo",7.29,42516,476,1.12,0,4,7,2
1687,Koukaku Kidoutai: Stand Alone Complex - Tachikoma na Hibi (TV),TV,Bad,12,"May 2, 2007 to Apr 13, 2008",,Production I.G,Manga,"Sci-Fi, Comedy, Mecha",7.29,10766,6,0.056,0,10,4,2
1688,Mahoutsukai ni Taisetsu na Koto: Natsu no Sora,TV,Bad,12,"Jul 3, 2008 to Sep 25, 2008","Geneon Universal Entertainment, TV Asahi",Hal Film Maker,Manga,"Slice of Life, Drama, Magic, Romance, Shounen",7.29,21638,63,0.291,0,18,5,3
1689,Matantei Loki Ragnarok,TV,Bad,26,"Apr 5, 2003 to Sep 27, 2003","TV Tokyo, Rakuonsha",Studio Deen,Manga,"Comedy, Magic, Mystery, Shounen, Supernatural",7.29,33233,211,0.635,0,4,6,2
1694,Nagasarete Airantou,TV,Bad,26,"Apr 5, 2007 to Sep 27, 2007",Square Enix,feel.,Manga,"Harem, Comedy, Romance, Ecchi, Fantasy, Shounen",7.29,80331,372,0.463,0,39,4,2
1695,Natsu no Arashi!,TV,Bad,13,"Apr 6, 2009 to Jun 29, 2009","TV Tokyo Music, GANSIS",Shaft,Manga,"Comedy, Romance, Supernatural",7.29,43962,75,0.171,0,4,20,2
1696,Natsuyuki Rendezvous,TV,Bad,11,"Jul 6, 2012 to Sep 14, 2012","Fuji TV, Toho, Sony Music Entertainment",Doga Kobo,Manga,"Supernatural, Drama, Romance, Josei",7.29,64421,228,0.354,0,19,5,3
1697,Needless,TV,Bad,24,"Jul 3, 2009 to Dec 11, 2009","Avex Entertainment, Lantis",Madhouse,Manga,"Action, Sci-Fi, Comedy, Super Power, Ecchi, Seinen",7.29,123902,551,0.445,0,1,10,3
1700,"Ore no Nounai Sentakushi ga, Gakuen Love Comedy wo Zenryoku de Jama Shiteiru",TV,Bad,10,"Oct 10, 2013 to Dec 12, 2013","DAX Production, Studio Jack, MAGES.",Diomedea,Light novel,"Harem, Comedy, Romance, School",7.29,320218,1457,0.455,1,39,4,4
1702,Patalliro!,TV,Bad,49,"Apr 9, 1982 to May 13, 1983",,Toei Animation,Manga,"Adventure, Comedy, Romance, Shoujo, Shounen Ai",7.29,5313,76,1.43,0,3,4,2
1703,Pokemon XY,TV,Bad,93,"Oct 17, 2013 to Oct 22, 2015",TV Tokyo,OLM,Game,"Action, Adventure, Comedy, Fantasy, Kids",7.29,92521,408,0.441,2,1,3,4
1704,Rewrite 2nd Season,TV,Bad,11,"Jan 14, 2017 to Mar 25, 2017","Aniplex, Mainichi Broadcasting System, Movic, Visual Art's, Magic Capsule, ASCII Media Works, Bushiroad, Tokyo MX, BS11, Lawson",8bit,Visual novel,"Action, Military, Comedy, Supernatural, Romance, Fantasy",7.29,87286,420,0.481,1,1,2,1
1708,Slayers Revolution,TV,Bad,13,"Jul 3, 2008 to Sep 25, 2008",,J.C.Staff,Light novel,"Adventure, Comedy, Fantasy",7.29,31691,50,0.158,1,3,4,3
1709,Solty Rei,TV,Bad,24,"Oct 7, 2005 to Mar 31, 2006","AIC, TV Asahi, Sotsu Music Publishing",Gonzo,Original,"Action, Sci-Fi, Super Power",7.29,25157,122,0.485,5,1,10,4
1712,Sword Art Online,TV,Bad,25,"Jul 8, 2012 to Dec 23, 2012","Aniplex, Genco, DAX Production, ASCII Media Works, Bandai Namco Games",A-1 Pictures,Light novel,"Action, Game, Adventure, Romance, Fantasy",7.29,2031016,63405,3.122,1,1,16,3
1714,Tekken Chinmi,TV,Bad,20,"Jul 2, 1988 to Dec 24, 1988","Ashi Production, Studio Jack",Production Reed,Manga,"Action, Adventure, Historical, Martial Arts, Shounen",7.29,3417,10,0.293,0,1,3,3
1721,Poputepipikku,TV,Bad,12,"Jan 7, 2018 to Mar 25, 2018",King Records,Kamikaze Douga,4-koma manga,"Comedy, Dementia, Parody",7.28,158345,1008,0.637,0,4,38,1
1726,Selector Infected WIXOSS,TV,Bad,12,"Apr 4, 2014 to Jun 20, 2014","Magic Capsule, Warner Bros. Japan, Showgate",J.C.Staff,Card game,"Game, Psychological",7.28,124811,583,0.467,2,16,26,2
1730,Subete ga F ni Naru,TV,Bad,11,"Oct 9, 2015 to Dec 18, 2015","Aniplex, Dentsu, Fuji TV, Kyoraku Industrial Holdings, Kansai Telecasting",A-1 Pictures,Novel,"Sci-Fi, Mystery, Psychological",7.28,134177,623,0.464,0,10,15,4
1732,Tokyo Majin Gakuen Kenpucho: Tou Dai Ni Maku,TV,Bad,12,"Jul 27, 2007 to Oct 12, 2007",,AIC Spirits,Game,"Action, Mystery, Horror, Drama, Martial Arts, Fantasy, School",7.28,29157,69,0.237,2,1,15,3
1734,Uta no☆Prince-sama♪ Maji Love 2000%,TV,Bad,13,"Apr 4, 2013 to Jun 27, 2013","Showgate, King Records",A-1 Pictures,Visual novel,"Comedy, Harem, Music, Romance, School, Shoujo",7.28,92311,649,0.703,1,4,39,2
1736,Utawarerumono: Itsuwari no Kamen,TV,Bad,25,"Oct 4, 2015 to Mar 27, 2016","KlockWorx, Toranoana, AQUAPLUS, ensky, King Records",White Fox,Visual novel,"Action, Drama, Fantasy",7.28,89030,369,0.414,1,1,5,4
1737,Witch Hunter Robin,TV,Bad,26,"Jul 2, 2002 to Dec 24, 2002","TV Tokyo, Bandai Visual, Dentsu, Victor Entertainment",Sunrise,Original,"Action, Mystery, Police, Supernatural, Drama, Magic",7.28,91861,573,0.624,5,1,15,3
1738,Witchblade,TV,Bad,24,"Apr 6, 2006 to Sep 21, 2006","GDH, SKY Perfect Well Think, Sotsu Music Publishing",Gonzo,Other,"Action, Sci-Fi, Super Power",7.28,94585,559,0.591,3,1,10,2
1740,Alps no Shoujo Heidi,TV,Bad,52,"Jan 6, 1974 to Dec 29, 1974",Fuji TV,Nippon Animation,Book,"Slice of Life, Historical, Drama",7.28,24282,175,0.721,1,18,11,1
1741,Amanchu!,TV,Bad,12,"Jul 8, 2016 to Sep 23, 2016","Production I.G, Frontier Works, Shochiku, AT-X, flying DOG, Tokyo MX, Mag Garden",J.C.Staff,Manga,"Slice of Life, Comedy, School, Shounen",7.28,78573,274,0.349,0,18,4,3
1743,Canaan,TV,Bad,13,"Jul 4, 2009 to Sep 26, 2009","Lantis, Pony Canyon, Magic Capsule, Bushiroad, Showgate, Good Smile Company",P.A. Works,Visual novel,"Action, Sci-Fi, Super Power, Supernatural, Seinen",7.28,181609,866,0.477,1,1,10,3
1744,Captain Tsubasa J,TV,Bad,47,"Oct 21, 1994 to Dec 22, 1995","Nihon Ad Systems, Fuji TV, Studio Jack",Studio Comet,Manga,"Action, Sports, Shounen",7.28,22525,75,0.333,0,1,23,4
1749,Fushigiboshi no☆Futagohime,TV,Bad,51,"Apr 2, 2005 to Mar 25, 2006","TV Tokyo, Diomedea, Nihon Ad Systems",Hal Film Maker,Original,"Magic, Comedy, Shoujo",7.28,8705,91,1.045,5,6,4,2
1750,Gakuen Utopia Manabi Straight!,TV,Bad,12,"Jan 8, 2007 to Mar 26, 2007","Starchild Records, KlockWorx, ASCII Media Works",ufotable,Original,"Slice of Life, Comedy, School",7.28,26522,100,0.377,5,18,4,1
1751,Groove Adventure Rave,TV,Bad,51,"Oct 13, 2001 to Sep 28, 2002","TBS, Kodansha",Studio Deen,Manga,"Adventure, Comedy, Fantasy, Romance, Shounen",7.28,81954,375,0.458,0,3,4,4
1752,H2,TV,Bad,41,"Jun 1, 1995 to Mar 21, 1996",Asahi Broadcasting,Production Reed,Manga,"Comedy, Sports, Romance, Shounen",7.28,7482,22,0.294,0,4,23,2
1753,High School! Kimengumi,TV,Bad,86,"Oct 20, 1985 to Oct 3, 1987","Studio Comet, Tsuchida Productions",,Manga,"Comedy, Parody, Romance, School, Shounen",7.28,2654,21,0.791,0,4,12,4
1754,Inukami!,TV,Bad,26,"Apr 6, 2006 to Sep 28, 2006","Starchild Records, Yomiuri Advertising, ASCII Media Works",Seven Arcs,Light novel,"Comedy, Ecchi, Romance, Shounen, Supernatural",7.28,61603,228,0.37,1,4,35,2
1755,Kaze no Stigma,TV,Bad,24,"Apr 13, 2007 to Sep 21, 2007",,Gonzo,Light novel,"Action, Magic, Romance, Fantasy, Shounen",7.28,360096,2101,0.583,1,1,6,2
1758,Kono Bijutsubu ni wa Mondai ga Aru!,TV,Bad,12,"Jul 8, 2016 to Sep 23, 2016","TBS, DAX Production, ASCII Media Works, King Records",feel.,Manga,"Comedy, Romance, School, Seinen",7.28,201081,543,0.27,0,4,20,3
1759,Kyouran Kazoku Nikki,TV,Bad,26,"Apr 12, 2008 to Oct 4, 2008",Lantis,Nomad,Light novel,"Comedy, Sci-Fi",7.28,26286,114,0.434,1,4,10,2
1768,Beelzebub-jou no Okinimesu mama.,TV,Bad,12,"Oct 11, 2018 to Dec 27, 2018","Aniplex, Square Enix, Movic, Studio Mausu, Tokyo MX, Q-Tec, ABC Animation, CA-Cygames Anime Fund",LIDENFILMS,4-koma manga,"Comedy, Demons, Fantasy, Romance, Shounen",7.27,60344,220,0.365,0,4,31,4
1770,Brigadoon: Marin to Melan,TV,Bad,26,"Jul 21, 2000 to Feb 9, 2001",Bandai Visual,Sunrise,Original,"Adventure, Comedy, Drama, Mecha, Sci-Fi",7.27,10063,118,1.173,5,3,4,3
1772,Dantalian no Shoka,TV,Bad,12,"Jul 16, 2011 to Oct 1, 2011","TV Tokyo, Kadokawa Shoten, Kadokawa Pictures Japan, KlockWorx, NTT Docomo, Dwango",Gainax,Light novel,"Action, Mystery, Historical, Supernatural",7.27,123467,519,0.42,1,1,15,3
1775,Dotto Koni-chan,TV,Bad,26,"Nov 26, 2000 to May 29, 2001","Genco, Animax",Shaft,Original,Comedy,7.27,2686,17,0.633,5,4,0,4
1776,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II,TV,Bad,12,"Jul 13, 2019 to Sep 28, 2019","Genco, Movic, Warner Bros. Japan, KlockWorx, SoftBank Creative, Hakuhodo DY Music & Pictures, Egg Firm, FuRyu, GREE",J.C.Staff,Light novel,"Action, Adventure, Comedy, Romance, Fantasy",7.27,430276,1928,0.448,1,1,3,3
1784,Kiniro Mosaic,TV,Bad,12,"Jul 6, 2013 to Sep 21, 2013","Media Factory, Showgate",Studio Gokumi,4-koma manga,"Slice of Life, Comedy, School, Seinen",7.27,149213,879,0.589,0,18,4,3
1787,Macross Δ,TV,Bad,26,"Apr 3, 2016 to Sep 25, 2016","Bandai Visual, Big West, flying DOG, Techno Sound",Satelight,Original,"Action, Military, Sci-Fi, Music, Space, Romance, Mecha",7.27,59882,406,0.678,5,1,2,2
1789,Mazinger Z,TV,Bad,92,"Dec 3, 1972 to Sep 1, 1974",Dynamic Planning,Toei Animation,Manga,"Action, Drama, Mecha, Sci-Fi, Shounen",7.27,12265,98,0.799,0,1,5,4
1790,Mix,TV,Bad,24,"Apr 6, 2019 to Sep 28, 2019","Shogakukan-Shueisha Productions, YTV",OLM,Manga,"Drama, Romance, School, Shounen, Sports",7.27,16241,47,0.289,0,5,20,2
1795,Petshop of Horrors,TV,Bad,4,"Mar 2, 1999 to Mar 23, 1999","Trans Arts, TBS",Madhouse,Manga,"Horror, Josei, Mystery, Supernatural",7.27,49311,324,0.657,0,29,27,1
1803,Spiral: Suiri no Kizuna,TV,Bad,25,"Oct 1, 2002 to Mar 25, 2003","TV Tokyo, Aniplex, Sotsu, SME Visual Works",J.C.Staff,Manga,"Drama, Mystery, Shounen",7.27,46131,322,0.698,0,5,15,4
1804,Suite Precure♪,TV,Bad,48,"Feb 6, 2011 to Jan 29, 2012",,Toei Animation,Original,"Action, Fantasy, Magic, Shoujo",7.27,11745,113,0.962,5,1,7,1
1806,Tiger Mask,TV,Bad,105,"Oct 2, 1969 to Sep 30, 1971",,Toei Animation,Manga,"Action, Drama, Shounen, Sports",7.27,7547,55,0.729,0,1,5,4
1807,Time Travel Tondekeman!,TV,Bad,39,"Oct 19, 1989 to Aug 26, 1990",,"Tatsunoko Production,       Production Reed,       Asahi Production",Original,"Action, Kids, Adventure, Comedy",7.27,1635,14,0.856,5,1,36,4
1808,Uragiri wa Boku no Namae wo Shitteiru,TV,Bad,24,"Apr 12, 2010 to Sep 20, 2010",,J.C.Staff,Manga,"Adventure, Drama, Fantasy, Shoujo, Shounen Ai",7.27,80058,1006,1.257,0,3,5,2
1815,Abenobashi Mahou☆Shoutengai,TV,Bad,13,"Apr 4, 2002 to Jun 27, 2002","Dentsu, Starchild Records, Imagica, Rakuonsha, King Records","Gainax,       Madhouse",Original,"Comedy, Parody, Ecchi, Fantasy",7.26,70682,316,0.447,5,4,12,2
1820,C: The Money of Soul and Possibility Control,TV,Bad,11,"Apr 15, 2011 to Jun 24, 2011","Fuji TV, Jumondo, Sony Music Entertainment, Fujipacific Music",Tatsunoko Production,Original,"Action, Mystery, Super Power, Thriller",7.26,243056,1160,0.477,5,1,15,2
1821,Date A Live II,TV,Bad,10,"Apr 12, 2014 to Jun 14, 2014","Kadokawa Shoten, AT-X, Nippon Columbia",Production IMS,Light novel,"Comedy, Harem, Mecha, Romance, School, Sci-Fi",7.26,415988,2690,0.647,1,4,39,2
1825,Fate/kaleid liner Prisma☆Illya 2wei Herz!,TV,Bad,10,"Jul 25, 2015 to Sep 26, 2015","Lantis, Kadokawa Shoten, AT-X, DAX Production, KlockWorx, Tokyo MX, Kadokawa Media House",Silver Link.,Manga,"Action, Slice of Life, Comedy, Magic, Fantasy",7.26,101514,218,0.215,0,1,18,3
1826,Ginga e Kickoff!!,TV,Bad,39,"Mar 26, 2012 to Feb 26, 2013","NHK, Nihon Ad Systems",TYO Animations,Novel,"Sports, Shounen",7.26,19559,89,0.455,0,23,8,1
1828,Grancrest Senki,TV,Bad,24,"Jan 6, 2018 to Jun 23, 2018","Aniplex, Bandai Namco Entertainment, Good Smile Company, BS11, ABC Animation, Kinoshita Group Holdings, Kadokawa, Cromea, Sonilude",A-1 Pictures,Light novel,"Action, Drama, Fantasy, Romance",7.26,194216,854,0.44,1,1,5,1
1829,Hentai Ouji to Warawanai Neko.,TV,Bad,12,"Apr 13, 2013 to Jun 29, 2013","Frontier Works, Media Factory, FuRyu",J.C.Staff,Light novel,"Harem, Comedy, Supernatural, Romance, School",7.26,356322,1693,0.475,1,39,4,2
1831,Hyakko,TV,Bad,13,"Oct 2, 2008 to Dec 25, 2008",Flex Comix,Nippon Animation,Manga,"Comedy, School, Slice of Life",7.26,39994,116,0.29,0,4,24,4
1833,Jyu Oh Sei,TV,Bad,11,"Apr 14, 2006 to Jun 23, 2006","Dentsu, SKY Perfect Well Think, Fuji TV, Asmik Ace, Sony Music Entertainment",Bones,Manga,"Action, Sci-Fi, Adventure, Mystery, Drama, Shoujo",7.26,61547,370,0.601,0,1,10,2
1834,Kaidan Restaurant,TV,Bad,23,"Oct 13, 2009 to Jun 8, 2010",TV Asahi,Toei Animation,Picture book,"Horror, Kids, Mystery, Supernatural",7.26,13409,45,0.336,0,29,36,4
1835,Kidou Tenshi Angelic Layer,TV,Bad,26,"Apr 1, 2001 to Sep 23, 2001",TV Tokyo Music,Bones,Manga,"Sci-Fi, Comedy, Sports, Drama, Shounen",7.26,50090,281,0.561,0,10,4,2
1837,Koukaku Kidoutai Arise: Alternative Architecture,TV,Bad,10,"Apr 5, 2015 to Jun 14, 2015",TOHO animation,Production I.G,Manga,"Sci-Fi, Police, Psychological, Mecha",7.26,36297,45,0.124,0,10,30,2
1838,Koutetsujou no Kabaneri,TV,Bad,12,"Apr 8, 2016 to Jul 1, 2016","Aniplex, Dentsu, Fuji TV, Kyoraku Industrial Holdings, Kansai Telecasting",Wit Studio,Original,"Action, Horror, Supernatural, Drama, Fantasy",7.26,560063,2629,0.469,5,1,29,2
1839,Kuroshitsuji II,TV,Bad,12,"Jul 2, 2010 to Sep 17, 2010","Aniplex, Square Enix, Mainichi Broadcasting System",A-1 Pictures,Original,"Action, Comedy, Historical, Demons, Supernatural, Shounen",7.26,408733,3987,0.975,5,1,4,3
1840,Kyoushoku Soukou Guyver (2005),TV,Bad,26,"Aug 6, 2005 to Feb 18, 2006",Imagine,OLM,Manga,"Adventure, Sci-Fi, Shounen",7.26,17938,154,0.859,0,3,10,3
1844,Nazo no Kanojo X,TV,Bad,13,"Apr 8, 2012 to Jul 1, 2012","Starchild Records, Kodansha, Yomiuri Advertising, Atelier Musa",Hoods Entertainment,Manga,"Romance, School, Seinen",7.26,190449,1733,0.91,0,20,24,2
1846,07-Ghost,TV,Bad,25,"Apr 7, 2009 to Sep 22, 2009",Ichijinsha,Studio Deen,Manga,"Action, Demons, Fantasy, Josei, Magic, Military",7.25,178362,2249,1.261,0,1,31,2
1849,Basquash!,TV,Bad,26,"Apr 3, 2009 to Oct 2, 2009",Mainichi Broadcasting System,Satelight,Original,"Sports, Mecha, Shounen",7.25,40096,178,0.444,5,23,22,2
1851,Cybersix,TV,Bad,13,"Sep 6, 1999 to Nov 29, 1999",Tokyo Movie Shinsha,Telecom Animation Film,Other,"Action, Adventure, Romance, Sci-Fi",7.25,6793,51,0.751,3,1,3,3
1852,Date A Live,TV,Bad,12,"Apr 6, 2013 to Jun 22, 2013","Kadokawa Shoten, AT-X, Nippon Columbia, Fujimi Shobo",AIC Plus+,Light novel,"Sci-Fi, Harem, Comedy, Romance, Mecha, School",7.25,669087,11960,1.788,1,10,39,2
1853,Digimon Adventure 02,TV,Bad,50,"Apr 2, 2000 to Mar 25, 2001","Yomiko Advertising, Fuji TV",Toei Animation,Original,"Action, Adventure, Comedy, Drama, Fantasy, Kids",7.25,182147,786,0.432,5,1,3,2
1855,Druaga no Tou: The Sword of Uruk,TV,Bad,12,"Jan 9, 2009 to Mar 27, 2009",Sotsu Music Publishing,Gonzo,Game,"Adventure, Fantasy",7.25,65008,92,0.142,2,3,7,1
1857,Gegege no Kitarou (2018),TV,Bad,97,"Apr 1, 2018 to Mar 29, 2020","Yomiko Advertising, Fuji TV",Toei Animation,Manga,"Comedy, Demons, Supernatural, Shounen",7.25,38566,109,0.283,0,4,31,2
1859,Kazoku Robinson Hyouryuuki: Fushigi na Shima no Flone,TV,Bad,50,"Jan 4, 1981 to Dec 27, 1981",,Nippon Animation,Novel,"Adventure, Drama, Historical, Slice of Life",7.25,4126,18,0.436,0,3,5,1
1860,Kimi ga Nozomu Eien,TV,Bad,14,"Oct 5, 2003 to Jan 4, 2004","Lantis, Media Factory, Age",Studio Fantasia,Visual novel,"Drama, Romance, Slice of Life",7.25,121242,1065,0.878,1,5,20,4
1863,Layton Mystery Tanteisha: Katri no Nazotoki File,TV,Bad,50,"Apr 8, 2018 to Mar 31, 2019",Level-5,LIDENFILMS,Game,"Mystery, Comedy, Kids",7.25,12887,49,0.38,2,15,4,2
1864,Legendz: Yomigaeru Ryuuou Densetsu,TV,Bad,50,"Apr 4, 2004 to Mar 27, 2005",,Gallop,Unknown,"Action, Adventure, Fantasy, Comedy",7.25,2263,39,1.723,3,1,3,2
1870,Planet With,TV,Bad,12,"Jul 8, 2018 to Sep 23, 2018","Movic, Q-Tec, Hakuhodo DY Music & Pictures, Medicos Entertainment, BS11, Bandai Namco Arts",J.C.Staff,Original,"Action, Mecha, Sci-Fi",7.25,46831,130,0.278,5,1,22,3
1872,Shikabane Hime: Aka,TV,Bad,13,"Oct 2, 2008 to Dec 25, 2008","Square Enix, Starchild Records","Gainax,       feel.",Manga,"Action, Horror, Supernatural, Shounen",7.25,102691,235,0.229,0,1,29,4
1873,Super Robot Taisen OG: The Inspector,TV,Bad,26,"Oct 2, 2010 to Apr 2, 2011",Sotsu,Asahi Production,Game,"Action, Mecha, Sci-Fi, Space",7.25,7953,44,0.553,2,1,22,4
1875,Tatakau Shisho: The Book of Bantorra,TV,Bad,27,"Oct 2, 2009 to Apr 2, 2010","Geneon Universal Entertainment, Sakura Create, Atelier Musa",David Production,Light novel,"Action, Fantasy, Seinen, Super Power",7.25,53140,177,0.333,1,1,7,4
1877,Vampire Knight: Guilty,TV,Bad,13,"Oct 7, 2008 to Dec 30, 2008","TV Tokyo, Aniplex",Studio Deen,Manga,"Drama, Mystery, Romance, Shoujo, Supernatural, Vampire",7.25,291265,3315,1.138,0,5,15,4
1879,Young Black Jack,TV,Bad,12,"Oct 2, 2015 to Dec 18, 2015","TBS, Grooove, Being",Tezuka Productions,Manga,"Historical, Drama, Seinen",7.25,68847,140,0.203,0,11,5,4
1880,Zoids Genesis,TV,Bad,50,"Apr 10, 2005 to Mar 26, 2006",,Shogakukan Music & Digital Entertainment,Unknown,"Action, Adventure, Comedy, Mecha, Military",7.25,13490,37,0.274,3,1,3,2
1881,Nogizaka Haruka no Himitsu,TV,Bad,12,"Jul 3, 2008 to Sep 25, 2008","Geneon Universal Entertainment, ASCII Media Works, Studio Mausu",Diomedea,Light novel,"Comedy, Romance",7.24,114301,430,0.376,1,4,20,3
1883,Ookami-san to Shichinin no Nakama-tachi,TV,Bad,12,"Jul 1, 2010 to Sep 16, 2010","Genco, Marvelous, Media Factory, AT-X, Magic Capsule, flying DOG",J.C.Staff,Light novel,"Comedy, Parody, Romance",7.24,228892,778,0.34,1,4,12,3
1884,Ou Dorobou Jing,TV,Bad,13,"May 15, 2002 to Aug 14, 2002",Aniplex,Studio Deen,Manga,"Adventure, Comedy, Fantasy, Sci-Fi, Shounen",7.24,32350,206,0.637,0,3,4,2
1886,Star Driver: Kagayaki no Takuto,TV,Bad,25,"Oct 3, 2010 to Apr 3, 2011","Aniplex, Dentsu, Square Enix, Mainichi Broadcasting System, Bandai Namco Entertainment",Bones,Original,"Action, Romance, Mecha, Shounen",7.24,95726,582,0.608,5,1,20,4
1887,Star☆Twinkle Precure,TV,Bad,49,"Feb 3, 2019 to Jan 26, 2020","TV Asahi, Echoes",Toei Animation,Original,"Action, Magic, Fantasy, Shoujo",7.24,6580,77,1.17,5,1,6,1
1888,Suzuka,TV,Bad,26,"Jul 7, 2005 to Dec 29, 2005","Marvelous, Starchild Records, Studio Jack",Studio Comet,Manga,"Sports, Drama, Romance, Shounen",7.24,97136,680,0.7,0,23,5,3
1889,Suzumiya Haruhi no Yuuutsu (2009),TV,Bad,14,"May 22, 2009 to Sep 11, 2009",Kadokawa Shoten,Kyoto Animation,Light novel,"Comedy, Mystery, Parody, Romance, School, Sci-Fi, Slice of Life",7.24,409895,2052,0.501,1,4,15,2
1890,Tenkuu Senki Shurato,TV,Bad,38,"Apr 6, 1989 to Jan 25, 1990",Sotsu,Tatsunoko Production,Original,"Action, Magic, Fantasy, Shounen",7.24,8415,55,0.654,5,1,6,2
1894,Area no Kishi,TV,Bad,37,"Jan 7, 2012 to Sep 29, 2012","TV Asahi, Imagine",Shin-Ei Animation,Manga,"Comedy, School, Shounen, Sports",7.24,57993,232,0.4,0,4,24,1
1895,Ayashi no Ceres,TV,Bad,24,"Apr 20, 2000 to Sep 28, 2000",Bandai Visual,Studio Pierrot,Manga,"Adventure, Comedy, Horror, Psychological, Supernatural, Drama, Romance, Shoujo",7.24,51610,531,1.029,0,3,4,2
1897,D.C.II S.S.: Da Capo II Second Season,TV,Bad,13,"Apr 6, 2008 to Jun 29, 2008","Starchild Records, Lantis, GANSIS",feel.,Visual novel,"Fantasy, Comedy, Harem, Romance, Drama",7.24,26362,54,0.205,1,7,4,2
1898,Deadman Wonderland,TV,Bad,12,"Apr 17, 2011 to Jul 3, 2011","Kadokawa Shoten, Kadokawa Pictures Japan, KlockWorx, AMG MUSIC",Manglobe,Manga,"Action, Horror, Sci-Fi, Shounen, Supernatural",7.24,890855,6092,0.684,0,1,29,2
1899,El Cazador de la Bruja,TV,Bad,26,"Apr 3, 2007 to Sep 25, 2007",Victor Entertainment,Bee Train,Original,"Adventure, Drama, Mystery",7.24,44225,235,0.531,5,3,5,2
1901,Hiiro no Kakera Dai Ni Shou,TV,Bad,13,"Sep 30, 2012 to Dec 23, 2012",Bandai Visual,Studio Deen,Visual novel,"Fantasy, Romance, Shoujo, Supernatural",7.24,42504,147,0.346,1,7,20,3
1908,Kaiketsu Zorro,TV,Bad,52,"Apr 5, 1996 to Apr 14, 1997",Toho,Ashi Production,Other,"Adventure, Historical, Shounen",7.24,8631,52,0.602,3,3,11,2
